title,image,imageWidth,shortDescription,longDescription
,,,,
Sommerlandschaft 1,/collection1/Sommerlandschaft-1.jpg,60,80 x 155 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n80 x 155 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Sommerlandschaft 2,/collection1/Sommerlandschaft-2.jpg,60,100 x 135 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n100 x 135 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Sommerlandschaft 3,/collection1/Sommerlandschaft-3.jpg,60,90 x 120 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n90 x 120 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Sommerlandschaft 4,/collection1/Sommerlandschaft-4.jpg,60,150 x 300 cm.\nCreated in 2022\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n150 x 300 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Le lac des Cygnes,/collection1/Le-lac-des-Cygnes.jpg,60,90 x 120 cm.\nCreated in 2022\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n90 x 120 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Explosion ,/collection1/Explosion.jpg,60,100 x 150 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n100 x 150 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Splash ,/collection1/Splash.jpg,60,80 x 120 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n/0 x 120 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Reflexionen im Sonnenuntergang 2,/collection1/Reflexionen-im-Sonnenuntergang-2.jpg,60,150 x 150 cm.\nCreated in 2020\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n150 x 150 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Impressions au soleil couchant,/collection1/Impressions-au-soleil-couchant-von-Philippe-Bordnonnet.jpg,60,150 x 420 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n120 x 420 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Behind the Red ,/collection1/Behind-the-Red-von-Philippe-Bordnonnet.jpg,60,90 x 190 cm.\nCreated in 2021\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n90 x 190 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Window Seat,/collection1/Window-Seat.jpg,060,130 x 160 cm.\nCreated in 2018\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n130 x 160 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
VERKAUFT,/collection1/El-Vesuvio.jpg,60,\n\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Horizon Multicolore 3,/collection1/Horizon-Multicolore-3.jpg,60,\n\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Songes d’une nuit tranquille,/collection1/Songes-dune-nuit-tranquille.jpg,60,135 x 200 cm.\nCreated in 2018\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n135 x 200 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Un Matin Ensoleille,/collection1/Un-Matin-Ensoleille.jpg,60,135 x 195 cm.\nCreated in 2019\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n135 x 195 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
Poppies field,/collection1/Poppies-field.jpg,60,80 x 150 cm.\nCreated in 2019\nWork Hnad-signed by the Artist\nCertificate of Authenticity,Acrylic on Canvas (Châssis)\n\n80 x 150 cm.\n\nThis Work was created in 2017\n\nThis Work is Hand-signed by the Artist\n\nCertificate of Authenticity
